L	F	E	coordinate
183	9.0073	1859	000011110011111110011100010010000110010001110111000111110100011100010101111100100000011110110001011010100011010111111011011011110101101101110110111001101000111011011001010100110100101
185	8.4381	2028	00010001111110000111010000000011110001011110011110010000110010010111011111110011011101110101100000100010001100101010001000011100110100011010011010000100101101010100001001011010100100010
187	8.8619	1973	0011110001100011000111100000000111100011010000111001100000001100010010000100000001101111111111010101010001101010111010001110110010101001100100101111001001011010101001011011001001101101001
189	9.0847	1966	000111100011000110001111000000001111000110100001110011000000011000100100001000000011011111111110101010100011010101110100011101100101010011001001011110010010110101010010110110010011011010010
191	8.3252	2191	00000011111111111111111000000111111001100000110010011000100001111000110000111001001011000110100110000110110000111001001011001001011010001001100011001010011001010110101001010101010101010010101
193	8.1974	2272	0011010101000110101010001100010110010001110101010010110110110110011111100101110010110101011001000100011000000011110010000110101001100011100011110000000010010001100001001101111111100100000000110
195	8.3352	2281	000001001001110110000000000110110110100100110100001111010011001101101100010111111111001111101010001000000101001101010101111011000111001100111101001011110011100001110001101010101001110110001110101
197	8.7486	2218	00000000000000000110011110001111001111000100101100011011010110001001110000100111111100000001001110111011000101010010101001110100100111011000001110010011110001001011001011011010011001010101010101010
199	8.7035	2275	0001011101010111010001010000110110111111100000100001111001001101110001100111100000000110111001010011001111100100011010101001011001101101110011100101101000101001010100011100101111101111011111110111101
201	8.4876	2380	000000000100110110110111111000000001101111110100100111110101101101000111000001011000000110001100110011001100110110010101100001010010010000111000001010011100001010111001010101101010001110001100010101010
203	8.5107	2421	00010001011111010000110110110111110000110111000000101101100111100100010010001110100110101001001111011101110100111000000110000100100011101110010110011100001010110111001011010111000111001011110101111011101
205	7.8935	2662	0000111111011000010001011111001100101001101110101100001010100010001111100101011000110110100010101100001101001111110111100011011000000110101101110111111101001111101110011111001100101000010001011000101011010
207	7.9497	2695	000110000001110000001100011000100011000011101011000111000010000000011111110111101110010111000100101011100100000011101101111001000101110101011010101000101101101100000100101100100010011011001010110110101001101
209	7.2416	3016	00011110000000110000001110000000010001110000110101100110101100100011100111011111100101000000101101111000100010010111000010101111100101011101100100100011000001100111110010110110111010101001001010110010101001011
211	7.9473	2801	0001111000000011000000111000000001000111000011010110011010110010001110011101111110010100000010110111100010001001011100001010111110010101110110010010001100000110011111001011011011101010100100101011001010100101101
213	8.4079	2698	001100001101011111010000011111110100010001011100101001111000010111010001100100001000010010011110011110111001101110100110100111000101110100011001000010000101101001111100100001000100001010100101000010100000110100110
215	8.5888	2691	01011011110110100000001011111110001100011110010100011101101100111011111010011000101111001110111111010010110111000011110101000100110100001001100001010001001100011101101111100101101100100101010000101010000111010001111
217	7.7551	3036	0010011010011111010111101011010101111011101111011000001101001011110111101100111010001011100011010011010001001100010000110000110110111101111011001110100010111100001101011000101110111010000000111110100000101001111001110
219	7.5198	3189	000000100111001100001100111001101001000011011100000001001010011010000001110100001001101000000001010111100101110111100101111110101010000110001011110110101000011000001110101011011100101110000110010011001011001101100010101
221	8.8544	2758	00000001111111111101100100100110110000001111110100100100100001010010000000110010001101101101101000011101001100010011000010010111100011100011011100110101011100000101110001110000101011010100111001110001100010101010100101010
223	7.7339	3215	0000011001111110111111111000110000111101111111110101101001011011101100000010111110000100110011011001001100001101110010110011100111001100111010010100001010110001000111100001111101010101110100101100100101010100010101100110101
